Asset Path                                                             | Size (MB) 
-----------------------------------------------------------------------------------
assets\images\gaming\game_logo.png                                     |       0.80
assets\images\cards\premium\card_seven_premium.png                     |       0.77
assets\images\cards\neon\card_face_neon_queen.png                      |       0.75
assets\images\cards\premium\card_face_premium_queen.png                |       0.73
assets\images\cards\premium\card_ace_premium.png                       |       0.71
assets\images\tables\table_skin_golden_oasis.png                       |       0.71
assets\images\cards\neon\card_face_neon_jack.png                       |       0.70
assets\images\cards\neon\card_seven_neon.png                           |       0.69
assets\images\tables\table_skin_ancient_marble.png                     |       0.66
assets\images\gaming\login_bg.png                                      |       0.64
assets\images\tables\table_skin_royal_velvet.png                       |       0.63
assets\images\cards\royal\card_seven_royal.png                         |       0.63
assets\images\cards\premium\card_face_premium_jack.png                 |       0.63
assets\images\tables\table_skin_oceanic_depths.png                     |       0.63
assets\images\cards\premium\suit_hearts.png                            |       0.62
assets\images\cards\neon\card_ace_neon.png                             |       0.61
assets\images\items\ticket.png                                         |       0.58
assets\fonts\Cairo.ttf                                                 |       0.57
assets\images\avatars\avatar3.png                                      |       0.55
assets\images\avatars\avatar2.png                                      |       0.55
assets\images\cards\premium\suit_trifle.png                            |       0.52
assets\images\tables\table_skin_midnight_cyber.png                     |       0.50
assets\images\cards\premium\suit_diamonds.png                          |       0.48
assets\images\avatars\avatar5.png                                      |       0.48
assets\images\avatars\avatar4.png                                      |       0.46
assets\images\cards\premium\suit_spades.png                            |       0.46
assets\images\avatars\avatar1.png                                      |       0.41
assets\images\avatars\avatar6.png                                      |       0.41
assets\fonts\Outfit-Bold.ttf                                           |       0.29
assets\fonts\Outfit-Regular.ttf                                        |       0.28
